time,date,hour,open,high,close,low,volumefrom,volumeto
1650844800,2022-04-25,0,39466.26,39515.99,38881.0,38752.84,2896.22,113096892.03
1650848400,2022-04-25,1,38881.0,39155.66,39108.59,38777.89,1351.11,52629051.73
1650852000,2022-04-25,2,39108.59,39156.8,39105.6,38981.43,663.49,25920264.19
1650855600,2022-04-25,3,39105.6,39293.03,39262.04,39099.81,795.73,31213141.18
1650859200,2022-04-25,4,39262.04,39266.3,39159.79,39087.36,627.11,24563740.25
1650862800,2022-04-25,5,39159.79,39236.17,38995.45,38970.4,768.2,30045144.82
1650866400,2022-04-25,6,38995.45,39057.54,38647.39,38609.05,1611.17,62594032.06
1650870000,2022-04-25,7,38647.39,38675.63,38469.12,38292.3,3049.79,117253192.78
1650873600,2022-04-25,8,38469.12,38581.2,38426.49,38407.19,997.41,38402662.71
1650877200,2022-04-25,9,38426.49,38632.27,38603.85,38234.7,1340.85,51549348.15
1650880800,2022-04-25,10,38603.85,38660.54,38432.98,38414.85,923.88,35586167.43
1650884400,2022-04-25,11,38432.98,38943.32,38836.2,38362.64,2110.31,81692218.75
1650888000,2022-04-25,12,38836.2,38988.42,38810.88,38760.98,1225.5,47623788.87
1650891600,2022-04-25,13,38810.88,39275.77,38751.55,38640.74,2745.94,106841725.01
1650895200,2022-04-25,14,38751.55,39408.08,39068.06,38652.94,3267.56,127532637.79
1650898800,2022-04-25,15,39068.06,39379.56,38987.96,38938.29,1844.03,72160731.72
1650902400,2022-04-25,16,38987.96,39668.35,39477.13,38923.18,2339.3,92091701.72
1650906000,2022-04-25,17,39477.13,39581.95,39400.62,39369.57,1428.74,56388809.04
1650909600,2022-04-25,18,39400.62,40288.13,39940.15,39335.1,2425.39,96628975.98
1650913200,2022-04-25,19,39940.15,40361.25,40239.39,39779.2,2294.86,92075423.05
1650916800,2022-04-25,20,40239.39,40331.79,40191.71,40069.12,1383.1,55606469.64
1650920400,2022-04-25,21,40191.71,40247.25,40238.98,40075.44,522.28,20977357.73
1650924000,2022-04-25,22,40238.98,40590.8,40357.24,40150.3,1310.45,52897079.3
1650927600,2022-04-25,23,40357.24,40575.17,40437.52,40259.26,713.8,28873155.39
1650931200,2022-04-26,0,40437.52,40760.96,40571.43,40405.2,1070.67,43436564.26
1650934800,2022-04-26,1,40571.43,40638.05,40484.05,40470.49,683.33,27705486.94
1650938400,2022-04-26,2,40484.05,40602.69,40545.72,40403.42,544.68,22065494.42
1650942000,2022-04-26,3,40545.72,40648.38,40545.0,40504.44,453.77,18408970.46
1650945600,2022-04-26,4,40545.0,40628.24,40575.45,40504.32,359.1,14574485.62
1650949200,2022-04-26,5,40575.45,40690.43,40600.77,40539.41,403.12,16370193.0
1650952800,2022-04-26,6,40600.77,40623.42,40524.66,40454.12,787.31,31900396.89
1650956400,2022-04-26,7,40524.66,40663.5,40598.08,40391.26,566.99,23004731.02
1650960000,2022-04-26,8,40598.08,40797.85,40518.34,40456.53,707.28,28719123.85
1650963600,2022-04-26,9,40518.34,40537.58,40385.8,40340.2,706.7,28567033.4
1650967200,2022-04-26,10,40385.8,40453.74,40378.1,40339.2,529.33,21381343.74
1650970800,2022-04-26,11,40378.1,40569.75,40471.9,40251.69,699.55,28287810.82
1650974400,2022-04-26,12,40471.9,40624.26,40290.51,40214.19,898.69,36349287.8
1650978000,2022-04-26,13,40290.51,40348.64,39809.15,39801.81,2450.91,98202171.81
1650981600,2022-04-26,14,39809.15,39831.14,39273.73,39230.95,3942.85,156032653.77
1650985200,2022-04-26,15,39273.73,39351.51,38586.94,38556.43,3246.74,126721001.05
1650988800,2022-04-26,16,38586.94,38879.32,38672.3,38389.67,3187.96,123109000.52
1650992400,2022-04-26,17,38672.3,38683.09,38398.37,38040.48,3534.84,135442674.26
1650996000,2022-04-26,18,38398.37,38473.61,38422.21,38222.4,2142.31,82181697.2
1650999600,2022-04-26,19,38422.21,38569.55,38282.49,37895.64,3989.07,152455625.91
1651003200,2022-04-26,20,38282.49,38414.08,38125.43,37734.05,3437.47,130717624.54
1651006800,2022-04-26,21,38125.43,38448.56,38334.35,38039.98,1280.98,49060357.51
1651010400,2022-04-26,22,38334.35,38451.78,38205.94,38188.16,937.78,35954384.1
1651014000,2022-04-26,23,38205.94,38275.47,38117.39,37726.59,1626.82,61835776.23
1651017600,2022-04-27,0,38117.39,38253.49,38179.45,37900.6,1445.13,55092870.26
1651021200,2022-04-27,1,38179.45,38326.45,38317.23,38168.7,940.43,35971731.5
1651024800,2022-04-27,2,38317.23,38436.73,38430.09,38273.58,838.72,32165876.56
1651028400,2022-04-27,3,38430.09,38477.65,38350.55,38336.0,610.63,23451283.07
1651032000,2022-04-27,4,38350.55,38454.05,38409.05,38320.72,762.5,29282065.04
1651035600,2022-04-27,5,38409.05,38545.91,38418.07,38375.09,499.04,19188421.63
